month,day,year,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,age_since_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
5.0,21.0,2014.0,3.0,1.0,1020.0,7874.0,1.0,0.0,0.0,3.0,7.0,1020.0,0.0,1956.0,58.0,98106.0,47.5175,-122.346,1290.0,7320.0,2.18
6.0,9.0,2014.0,3.0,2.25,2210.0,8000.0,2.0,0.0,0.0,4.0,8.0,2210.0,0.0,1969.0,45.0,98023.0,47.3085,-122.381,1990.0,8000.0,2.5025
2.0,18.0,2015.0,4.0,2.5,2350.0,5835.0,2.0,0.0,0.0,3.0,8.0,2350.0,0.0,2003.0,12.0,98042.0,47.3494,-122.153,3010.0,5772.0,2.7
5.0,22.0,2014.0,3.0,1.5,1660.0,4800.0,2.0,0.0,0.0,3.0,8.0,1660.0,0.0,1907.0,107.0,98119.0,47.6352,-122.358,1690.0,4000.0,9.263
9.0,5.0,2014.0,3.0,2.5,2410.0,9916.0,2.0,0.0,0.0,4.0,10.0,2410.0,0.0,1989.0,25.0,98052.0,47.6911,-122.103,2310.0,8212.0,7.0
7.0,28.0,2014.0,4.0,2.5,2240.0,4025.0,1.0,0.0,2.0,3.0,7.0,1250.0,990.0,1926.0,9.0,98115.0,47.6818,-122.311,1380.0,3500.0,6.3
11.0,3.0,2014.0,2.0,1.0,810.0,4838.0,1.0,0.0,0.0,3.0,5.0,810.0,0.0,1938.0,76.0,98055.0,47.4909,-122.203,890.0,4838.0,2.3895
2.0,9.0,2015.0,3.0,2.25,1530.0,7906.0,1.0,0.0,0.0,3.0,7.0,1150.0,380.0,1980.0,35.0,98058.0,47.4418,-122.136,1460.0,7875.0,3.15
8.0,27.0,2014.0,3.0,2.0,1720.0,128066.0,1.0,0.0,0.0,3.0,7.0,1720.0,0.0,1994.0,20.0,98027.0,47.4487,-121.981,2360.0,111078.0,4.27
5.0,6.0,2015.0,4.0,2.5,2490.0,7694.0,2.0,0.0,0.0,3.0,8.0,2490.0,0.0,1987.0,28.0,98029.0,47.567,-122.016,2140.0,8126.0,7.0
6.0,25.0,2014.0,4.0,4.0,3570.0,8250.0,2.0,0.0,0.0,3.0,10.0,2860.0,710.0,2015.0,-1.0,98040.0,47.5784,-122.226,2230.0,10000.0,5.97326
10.0,13.0,2014.0,4.0,2.25,1990.0,21312.0,1.0,0.0,0.0,4.0,8.0,1990.0,0.0,1968.0,46.0,98058.0,47.439,-122.144,2400.0,19210.0,3.65
2.0,4.0,2015.0,6.0,2.75,2850.0,15240.0,1.0,0.0,0.0,3.0,7.0,1850.0,1000.0,1962.0,53.0,98106.0,47.5288,-122.345,2090.0,7620.0,3.6
5.0,2.0,2014.0,3.0,2.25,1970.0,35100.0,2.0,0.0,0.0,4.0,9.0,1970.0,0.0,1977.0,37.0,98027.0,47.4635,-121.991,2340.0,35100.0,4.375
8.0,1.0,2014.0,3.0,1.0,860.0,7030.0,1.0,0.0,0.0,3.0,7.0,860.0,0.0,1973.0,41.0,98034.0,47.7151,-122.211,1360.0,7500.0,3.5
